dataset_index,session_id,measurement_id,sample_id,shared_height_source_id,roi_within_measurement,session_role,design_group,processing_order,x_position_um,y_position_um,compressor_steps,pulse_duration_fs,pulse_duration_calibration_id,pulse_duration_calibration_version,frequency_kHz,hatch_spacing_um,pass_count,velocity_mm_s,valid_fraction,repair_fraction,median_depth_um,residual_Sq_um,plane_rmse_um,plane_status,measured_power_W,nominal_software_power_W,power_measurement_source,power_measurement_version,constant_power_assumption,pulse_energy_proxy_uJ,scan_spacing_um,areal_pulse_density_per_mm2,areal_dose_proxy_J_per_mm2,quad_key,base_condition_group,cv_process_group,phase1_global_loco_rank,phase1_global_loco_angle_deg,D,A_med,ilr_z1,ilr_z2,ilr_z3,ilr_z4,A2_8_16,entropy_8_16,A2_16_32,entropy_16_32
0,zro2_120_formal,1,1,zro2_120_formal:m001,single,formal,,1,-3300.0,16400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,2.0,4,11,1.0,0.0,13.5066,0.5699,0.2188877772242756,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,363636.3636363637,969.6909090909091,500:2:2:11,F1,FQ:500:2:2:11|N4,90,0.0293428329449272,13.506645679473877,0.5698619732077966,-1.7610573920420678,-0.1063306799927708,-1.1676937470966031,-1.6028149867022117,0.036720770646403,0.9336741740150308,0.1486436842591643,0.7615871772849784
1,zro2_120_formal,2,2,zro2_120_formal:m002,single,formal,,2,-3300.0,15800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,4.0,5,9,1.0,0.0,8.6371,0.2474,0.2893086040778375,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,277777.7777777777,740.7361111111111,500:2:4:9,F2,FQ:500:2:4:9|N5,107,0.0210305925046756,8.637125968933105,0.2474479139721646,0.60038467479991,-0.0692891450335584,0.3096498898541371,-0.5584016556074597,0.1961232572137329,0.9344989266450388,0.5246453649519288,0.727685109468313
2,zro2_120_formal,3,3,zro2_120_formal:m003,single,formal,,3,-3300.0,15200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,6.0,3,7,1.0,0.0,3.897,0.2425,0.2561944868863207,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,142857.14285714287,380.9500000000001,500:2:6:7,F3,FQ:500:2:6:7|N3,111,0.0184950120544432,3.8969749212265015,0.24253570528548113,1.104998029787216,0.5182216181845284,0.1477383344852232,-0.5817022439876405,0.2995539380411224,0.9205390814978176,0.361811398758138,0.754089683483039
3,zro2_120_formal,4,4,zro2_120_formal:m004,single,formal,,4,-3300.0,14600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,3,9,1.0,0.0,2.162,0.351,0.2399722506936449,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,4.5,83333.33333333333,222.22083333333336,500:2:8:9,F4,FQ:500:2:8:9|N3,127,0.0104844267409639,2.1620235443115234,0.350995647916628,2.082066241546125,-0.8615461618228943,0.486730613360869,-0.6259762723856899,0.6848565322463434,0.4779772055305059,0.2077240425452045,0.7395107891662104
4,zro2_120_formal,5,5,zro2_120_formal:m005,single,formal,,5,-3300.0,14000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,8.0,5,7,1.0,0.0,4.774,0.3828,0.2280783902500088,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,178571.42857142858,476.1875,500:2:8:7,F5,FQ:500:2:8:7|N5,155,0.0020245709653536,4.774026870727539,0.38283747743170576,1.710265031614994,-0.7349798880860732,-0.4504875561505053,-0.7651652276805724,0.7663973995223651,0.4797589507759083,0.147218986300505,0.7552230570593308
5,zro2_120_formal,6,6,zro2_120_formal:m006,single,formal,,6,-3300.0,13400.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,2,7,1.0,0.0,0.7912,0.7215,0.1991742301428834,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,3.5,57142.857142857145,152.38,500:2:10:7,F6,FQ:500:2:10:7|N2,122,0.0129018584426245,0.7911836206912994,0.7214708222399228,3.691202884258958,-1.940805301438366,0.9850647038769604,-0.3372768585977879,0.9554864475023206,0.2977525663111084,0.4481311003001749,0.7113792641333744
6,zro2_120_formal,7,7,zro2_120_formal:m007,single,formal,,7,-3300.0,12800.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,5,5,1.0,0.0,6.1178,0.8692,0.2317433984458325,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,2.5,200000.0,533.33,500:2:10:5,F7,FQ:500:2:10:5|N5,96,0.0247437840828345,6.117770195007324,0.8691893010855851,3.374157047922897,-1.94356293461084,1.496880423547838,0.9822989686850746,0.9570384606388984,0.3059312830097316,0.3293498199520948,0.745539132652249
7,zro2_120_formal,8,8,zro2_120_formal:m008,single,formal,,8,-3300.0,12200.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,2,10.0,5,11,1.0,0.0,2.6327,1.0928,0.2022893945375132,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,2666.65,5.5,90909.09090909093,242.4227272727273,500:2:10:11,F8,FQ:500:2:10:11|N5,108,0.0201481013634957,2.632662534713745,1.092760064340996,2.220398628073535,-1.6695954016433885,0.4741676302328777,-0.5873939855573871,0.9327131526105767,0.3347323640142271,0.0783170598249197,0.8154817845247797
8,zro2_120_formal,9,9,zro2_120_formal:m009,single,formal,,9,-3300.0,11600.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,2.0,4,3,1.0,0.0,57.0338,0.34,0.2713436573814032,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,6666666.666666667,3555.5333333333333,500:10:2:3,F9,FQ:500:10:2:3|N4,133,0.0089012432918744,57.03376770019531,0.3400339414728189,1.7535050180301313,-0.1112001611651448,1.1746405611180333,0.6565829832575614,0.2122197834193548,0.9505772661012044,0.1574855126624743,0.8371790564841007
9,zro2_120_formal,10,10,zro2_120_formal:m010,single,formal,,10,-3300.0,11000.0,36140,500,compressor_steps_to_fs_v1,现有数据基础说明_v2.md-§8,10,4.0,1,3,1.0,0.0,3.669,0.8399,0.2093315666446699,PASS,5.3333,10.0,experiment_background_v2_s11_no_independent_record,PENDING_REGISTRATION,True,533.33,0.3,833333.3333333334,444.44166666666666,500:10:4:3,F10,FQ:500:10:4:3|N1,112,0.0184377251101652,3.669000267982483,0.839902858973966,0.7037059434647862,-0.7833634154851993,0.9997244150802572,0.2369431581090661,0.4145163931252033,0.866742743252832,0.4175047821927171,0.7623947258572057
